label,accuracy
playing guitar,0.222222
bowling,0.538462
playing saxophone,0.307692
brushing teeth,0.933333
playing basketball,0.500000
tying tie,0.500000
brushing hair,0.900000
punching person (boxing),0.937500
playing accordion,0.454545
archery,0.263158
catching or throwing frisbee,0.928571
drinking,0.666667
eating ice cream,0.727273
flying kite,0.400000
sweeping floor,0.363636
skipping rope,0.833333
clean and jerk,0.846154
eating cake,0.210526
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.300000
juggling soccer ball,0.833333
deadlifting,0.818182
shooting basketball,0.368421
canoeing or kayaking,0.214286
surfing water,0.600000
playing volleyball,0.846154
playing piano,0.588235
writing,0.384615
dribbling basketball,0.722222
juggling balls,0.750000
playing trumpet,0.428571
smoking,0.631579
shooting goal (soccer),0.928571
hitting baseball,0.933333
sword fighting,0.823529
climbing ladder,0.153846
playing bass guitar,0.461538
playing tennis,0.315789
climbing a rope,0.285714
golf driving,0.562500
hurdling,0.900000
dunking basketball,0.600000
skiing slalom,0.400000
reading book,0.200000
walking the dog,0.266667
driving car,0.125000
cleaning windows,0.187500
opening bottle,0.333333
playing violin,0.400000
reading newspaper,0.100000
