label,accuracy
playing guitar,0.203704
bowling,0.512821
playing saxophone,0.461538
brushing teeth,0.977778
playing basketball,0.690476
tying tie,0.625000
brushing hair,0.866667
punching person (boxing),0.875000
playing accordion,0.545455
archery,0.385965
catching or throwing frisbee,0.880952
drinking,0.654321
reading book,0.366667
eating ice cream,0.939394
flying kite,0.433333
sweeping floor,0.363636
walking the dog,0.444444
skipping rope,0.972222
clean and jerk,0.743590
eating cake,0.315789
catching or throwing baseball,0.571429
skiing (not slalom or crosscountry),0.333333
juggling soccer ball,0.629630
deadlifting,1.000000
cleaning windows,0.250000
shooting basketball,0.438596
surfing water,0.466667
playing volleyball,0.846154
opening bottle,0.444444
playing piano,0.372549
writing,0.615385
dribbling basketball,0.759259
playing violin,0.433333
juggling balls,0.722222
playing trumpet,0.785714
smoking,0.912281
shooting goal (soccer),0.857143
hitting baseball,0.888889
sword fighting,0.882353
climbing ladder,0.256410
playing bass guitar,0.461538
playing tennis,0.421053
climbing a rope,0.285714
golf driving,0.437500
hurdling,0.833333
dunking basketball,0.766667
skiing slalom,0.333333
driving car,0.229167
reading newspaper,0.266667
canoeing or kayaking,0.190476
