label,accuracy
playing guitar,0.305556
bowling,0.519231
playing saxophone,0.250000
brushing teeth,0.883333
playing basketball,0.732143
tying tie,0.531250
brushing hair,0.962500
punching person (boxing),0.921875
playing accordion,0.704545
archery,0.618421
catching or throwing frisbee,0.946429
drinking,0.712963
eating ice cream,0.840909
flying kite,0.500000
skipping rope,0.875000
clean and jerk,0.846154
eating cake,0.302632
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.325000
juggling soccer ball,0.652778
deadlifting,1.000000
cleaning windows,0.328125
shooting basketball,0.526316
canoeing or kayaking,0.232143
surfing water,0.325000
playing volleyball,0.788462
playing piano,0.632353
writing,0.596154
dribbling basketball,0.527778
playing violin,0.600000
juggling balls,0.750000
playing trumpet,0.625000
smoking,0.815789
shooting goal (soccer),0.857143
hitting baseball,0.950000
sword fighting,0.808824
climbing ladder,0.192308
playing bass guitar,0.596154
playing tennis,0.539474
climbing a rope,0.303571
golf driving,0.890625
hurdling,0.900000
dunking basketball,0.900000
skiing slalom,0.475000
sweeping floor,0.295455
driving car,0.171875
opening bottle,0.388889
reading book,0.325000
walking the dog,0.316667
reading newspaper,0.075000
