label,accuracy
playing guitar,0.314815
bowling,0.512821
playing saxophone,0.435897
brushing teeth,0.688889
playing basketball,0.619048
tying tie,0.625000
skiing slalom,0.566667
brushing hair,0.816667
punching person (boxing),0.895833
archery,0.403509
catching or throwing frisbee,0.952381
drinking,0.382716
reading book,0.333333
flying kite,0.200000
skipping rope,0.916667
clean and jerk,0.410256
catching or throwing baseball,0.785714
skiing (not slalom or crosscountry),0.633333
juggling soccer ball,0.277778
deadlifting,0.939394
cleaning windows,0.145833
shooting basketball,0.491228
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.743590
opening bottle,0.370370
playing piano,0.431373
writing,0.282051
dribbling basketball,0.444444
playing violin,0.400000
juggling balls,0.638889
playing trumpet,0.761905
smoking,0.456140
shooting goal (soccer),0.928571
hitting baseball,0.888889
sword fighting,0.725490
climbing ladder,0.282051
playing bass guitar,0.564103
playing tennis,0.421053
golf driving,0.354167
hurdling,0.833333
dunking basketball,0.800000
playing accordion,0.575758
eating ice cream,0.545455
driving car,0.145833
walking the dog,0.222222
eating cake,0.140351
reading newspaper,0.233333
climbing a rope,0.309524
sweeping floor,0.030303
