label,accuracy
playing guitar,0.277778
bowling,0.500000
playing saxophone,0.269231
brushing teeth,0.833333
playing basketball,0.714286
tying tie,0.500000
brushing hair,0.950000
punching person (boxing),0.906250
playing accordion,0.636364
archery,0.473684
catching or throwing frisbee,0.964286
drinking,0.648148
eating ice cream,0.772727
flying kite,0.350000
skipping rope,0.875000
clean and jerk,0.846154
eating cake,0.184211
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.200000
juggling soccer ball,0.611111
deadlifting,1.000000
cleaning windows,0.312500
shooting basketball,0.500000
canoeing or kayaking,0.178571
surfing water,0.300000
playing volleyball,0.769231
playing piano,0.558824
writing,0.576923
dribbling basketball,0.527778
playing violin,0.500000
juggling balls,0.708333
playing trumpet,0.464286
smoking,0.736842
shooting goal (soccer),0.785714
hitting baseball,0.900000
sword fighting,0.794118
climbing ladder,0.192308
playing bass guitar,0.576923
playing tennis,0.447368
climbing a rope,0.321429
golf driving,0.812500
hurdling,0.850000
dunking basketball,0.900000
skiing slalom,0.400000
sweeping floor,0.227273
driving car,0.156250
opening bottle,0.277778
reading book,0.250000
walking the dog,0.233333
reading newspaper,0.050000
