label,accuracy
playing guitar,0.166667
bowling,0.461538
playing saxophone,0.615385
brushing teeth,0.666667
playing basketball,0.642857
tying tie,0.875000
brushing hair,0.800000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.263158
catching or throwing frisbee,0.857143
drinking,0.481481
reading book,0.300000
eating ice cream,0.636364
flying kite,0.200000
skipping rope,0.833333
clean and jerk,0.846154
eating cake,0.263158
catching or throwing baseball,0.642857
skiing (not slalom or crosscountry),0.500000
juggling soccer ball,0.222222
deadlifting,1.000000
driving car,0.187500
cleaning windows,0.125000
shooting basketball,0.578947
surfing water,0.700000
playing volleyball,0.692308
opening bottle,0.555556
playing piano,0.470588
writing,0.230769
dribbling basketball,0.500000
playing violin,0.200000
juggling balls,0.583333
playing trumpet,0.571429
smoking,0.789474
shooting goal (soccer),0.857143
hitting baseball,0.866667
sword fighting,0.882353
climbing ladder,0.153846
playing bass guitar,0.692308
playing tennis,0.368421
climbing a rope,0.214286
golf driving,0.562500
hurdling,0.700000
dunking basketball,0.600000
skiing slalom,0.500000
sweeping floor,0.090909
walking the dog,0.200000
canoeing or kayaking,0.071429
