label,accuracy
playing guitar,0.291667
bowling,0.673077
playing saxophone,0.423077
brushing teeth,0.900000
playing basketball,0.660714
tying tie,0.468750
brushing hair,0.925000
punching person (boxing),0.921875
playing accordion,0.681818
archery,0.473684
catching or throwing frisbee,0.946429
drinking,0.601852
reading book,0.325000
eating ice cream,0.818182
flying kite,0.400000
skipping rope,0.895833
clean and jerk,0.884615
eating cake,0.250000
catching or throwing baseball,0.821429
skiing (not slalom or crosscountry),0.300000
juggling soccer ball,0.597222
deadlifting,0.977273
driving car,0.265625
cleaning windows,0.218750
shooting basketball,0.447368
canoeing or kayaking,0.250000
surfing water,0.550000
playing volleyball,0.846154
opening bottle,0.444444
playing piano,0.397059
writing,0.346154
dribbling basketball,0.625000
playing violin,0.300000
juggling balls,0.625000
playing trumpet,0.553571
smoking,0.763158
shooting goal (soccer),0.839286
hitting baseball,0.916667
sword fighting,0.764706
climbing ladder,0.192308
playing bass guitar,0.403846
playing tennis,0.565789
golf driving,0.546875
hurdling,0.900000
dunking basketball,0.875000
skiing slalom,0.350000
sweeping floor,0.363636
walking the dog,0.233333
climbing a rope,0.142857
reading newspaper,0.050000
