label,accuracy
playing guitar,0.222222
bowling,0.615385
playing saxophone,0.307692
brushing teeth,0.900000
playing basketball,0.571429
tying tie,0.500000
brushing hair,0.900000
punching person (boxing),0.875000
playing accordion,0.500000
archery,0.368421
catching or throwing frisbee,0.928571
drinking,0.759259
eating ice cream,0.727273
flying kite,0.350000
sweeping floor,0.363636
skipping rope,0.916667
clean and jerk,0.730769
eating cake,0.342105
catching or throwing baseball,0.857143
skiing (not slalom or crosscountry),0.350000
juggling soccer ball,0.833333
deadlifting,0.863636
shooting basketball,0.473684
canoeing or kayaking,0.250000
surfing water,0.600000
playing volleyball,0.730769
playing piano,0.588235
writing,0.576923
dribbling basketball,0.722222
juggling balls,0.708333
playing trumpet,0.428571
smoking,0.736842
shooting goal (soccer),0.928571
hitting baseball,0.933333
sword fighting,0.735294
climbing ladder,0.153846
playing bass guitar,0.384615
playing tennis,0.394737
climbing a rope,0.392857
golf driving,0.656250
hurdling,0.800000
dunking basketball,0.750000
skiing slalom,0.400000
reading book,0.150000
walking the dog,0.366667
driving car,0.187500
cleaning windows,0.156250
opening bottle,0.333333
playing violin,0.400000
reading newspaper,0.100000
