label,accuracy
playing guitar,0.194444
bowling,0.500000
playing saxophone,0.461538
brushing teeth,0.966667
playing basketball,0.678571
tying tie,0.687500
brushing hair,0.850000
punching person (boxing),0.843750
playing accordion,0.590909
archery,0.368421
catching or throwing frisbee,0.892857
drinking,0.611111
reading book,0.400000
eating ice cream,0.954545
flying kite,0.350000
sweeping floor,0.363636
walking the dog,0.433333
skipping rope,0.958333
clean and jerk,0.692308
eating cake,0.263158
catching or throwing baseball,0.535714
skiing (not slalom or crosscountry),0.300000
juggling soccer ball,0.666667
deadlifting,1.000000
cleaning windows,0.250000
shooting basketball,0.421053
surfing water,0.450000
playing volleyball,0.846154
opening bottle,0.444444
playing piano,0.294118
writing,0.653846
dribbling basketball,0.722222
playing violin,0.450000
juggling balls,0.666667
playing trumpet,0.821429
smoking,0.894737
shooting goal (soccer),0.821429
hitting baseball,0.866667
sword fighting,0.852941
climbing ladder,0.230769
playing bass guitar,0.423077
playing tennis,0.394737
climbing a rope,0.321429
golf driving,0.437500
hurdling,0.850000
dunking basketball,0.700000
skiing slalom,0.350000
driving car,0.218750
reading newspaper,0.300000
canoeing or kayaking,0.107143
