label,accuracy
playing guitar,0.250000
bowling,0.500000
playing saxophone,0.576923
brushing teeth,0.800000
playing basketball,0.571429
tying tie,0.687500
brushing hair,0.775000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.289474
catching or throwing frisbee,0.892857
drinking,0.592593
reading book,0.350000
eating ice cream,0.545455
flying kite,0.250000
skipping rope,0.833333
clean and jerk,0.769231
eating cake,0.236842
catching or throwing baseball,0.642857
skiing (not slalom or crosscountry),0.700000
juggling soccer ball,0.222222
deadlifting,0.954545
driving car,0.156250
cleaning windows,0.125000
shooting basketball,0.552632
surfing water,0.650000
playing volleyball,0.730769
opening bottle,0.555556
playing piano,0.411765
writing,0.307692
dribbling basketball,0.555556
playing violin,0.175000
juggling balls,0.541667
playing trumpet,0.500000
smoking,0.763158
shooting goal (soccer),0.857143
hitting baseball,0.866667
sword fighting,0.852941
climbing ladder,0.192308
playing bass guitar,0.538462
playing tennis,0.289474
climbing a rope,0.285714
golf driving,0.625000
hurdling,0.700000
dunking basketball,0.650000
skiing slalom,0.500000
sweeping floor,0.045455
walking the dog,0.300000
canoeing or kayaking,0.071429
reading newspaper,0.050000
