label,accuracy
playing guitar,0.222222
bowling,0.538462
playing saxophone,0.384615
brushing teeth,0.666667
playing basketball,0.642857
tying tie,0.625000
skiing slalom,0.500000
brushing hair,0.800000
punching person (boxing),0.875000
archery,0.315789
catching or throwing frisbee,0.928571
drinking,0.296296
reading book,0.300000
flying kite,0.200000
skipping rope,0.916667
clean and jerk,0.307692
catching or throwing baseball,0.785714
skiing (not slalom or crosscountry),0.600000
juggling soccer ball,0.388889
deadlifting,0.909091
cleaning windows,0.125000
shooting basketball,0.368421
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.538462
opening bottle,0.333333
playing piano,0.470588
writing,0.307692
dribbling basketball,0.444444
playing violin,0.450000
juggling balls,0.500000
playing trumpet,0.714286
smoking,0.421053
shooting goal (soccer),0.928571
hitting baseball,0.800000
sword fighting,0.705882
climbing ladder,0.230769
playing bass guitar,0.615385
playing tennis,0.421053
golf driving,0.375000
hurdling,0.800000
dunking basketball,0.800000
playing accordion,0.454545
eating ice cream,0.454545
driving car,0.125000
walking the dog,0.200000
eating cake,0.105263
reading newspaper,0.200000
climbing a rope,0.214286
sweeping floor,0.090909
