label,accuracy
playing guitar,0.236111
bowling,0.519231
playing saxophone,0.461538
brushing teeth,0.983333
playing basketball,0.642857
tying tie,0.656250
brushing hair,0.887500
punching person (boxing),0.890625
playing accordion,0.522727
archery,0.381579
catching or throwing frisbee,0.892857
drinking,0.685185
reading book,0.350000
eating ice cream,0.931818
flying kite,0.450000
sweeping floor,0.363636
walking the dog,0.416667
skipping rope,0.979167
clean and jerk,0.788462
eating cake,0.355263
catching or throwing baseball,0.607143
skiing (not slalom or crosscountry),0.325000
juggling soccer ball,0.583333
deadlifting,1.000000
cleaning windows,0.265625
shooting basketball,0.447368
surfing water,0.500000
playing volleyball,0.846154
opening bottle,0.472222
playing piano,0.397059
writing,0.653846
dribbling basketball,0.777778
playing violin,0.412500
juggling balls,0.687500
playing trumpet,0.732143
smoking,0.921053
shooting goal (soccer),0.875000
hitting baseball,0.883333
sword fighting,0.897059
climbing ladder,0.269231
playing bass guitar,0.519231
playing tennis,0.473684
climbing a rope,0.285714
golf driving,0.421875
hurdling,0.850000
dunking basketball,0.825000
skiing slalom,0.350000
driving car,0.250000
reading newspaper,0.250000
canoeing or kayaking,0.178571
