label,accuracy
playing guitar,0.288889
bowling,0.400000
playing saxophone,0.384615
brushing teeth,0.760000
playing basketball,0.600000
tying tie,0.725000
skiing slalom,0.560000
brushing hair,0.820000
punching person (boxing),0.925000
playing accordion,0.490909
archery,0.452632
catching or throwing frisbee,0.942857
drinking,0.481481
reading book,0.380000
flying kite,0.160000
sweeping floor,0.127273
skipping rope,0.933333
clean and jerk,0.338462
catching or throwing baseball,0.742857
skiing (not slalom or crosscountry),0.600000
juggling soccer ball,0.333333
deadlifting,0.963636
driving car,0.162500
cleaning windows,0.137500
shooting basketball,0.536842
canoeing or kayaking,0.228571
surfing water,0.600000
playing volleyball,0.861538
playing piano,0.435294
writing,0.307692
dribbling basketball,0.522222
playing violin,0.450000
juggling balls,0.533333
playing trumpet,0.657143
smoking,0.515789
shooting goal (soccer),0.942857
hitting baseball,0.933333
sword fighting,0.682353
climbing ladder,0.292308
playing bass guitar,0.569231
playing tennis,0.452632
golf driving,0.400000
hurdling,0.860000
dunking basketball,0.780000
eating ice cream,0.509091
opening bottle,0.311111
reading newspaper,0.320000
climbing a rope,0.357143
walking the dog,0.320000
eating cake,0.221053
