label,accuracy
playing guitar,0.185185
bowling,0.615385
playing saxophone,0.333333
brushing teeth,0.933333
playing basketball,0.595238
tying tie,0.500000
brushing hair,0.916667
punching person (boxing),0.875000
playing accordion,0.515152
archery,0.421053
catching or throwing frisbee,0.928571
drinking,0.790123
eating ice cream,0.757576
flying kite,0.400000
sweeping floor,0.424242
skipping rope,0.944444
clean and jerk,0.743590
eating cake,0.403509
catching or throwing baseball,0.880952
skiing (not slalom or crosscountry),0.433333
juggling soccer ball,0.833333
deadlifting,0.909091
shooting basketball,0.526316
canoeing or kayaking,0.309524
surfing water,0.600000
playing volleyball,0.743590
playing piano,0.568627
writing,0.589744
dribbling basketball,0.722222
juggling balls,0.750000
playing trumpet,0.428571
smoking,0.789474
shooting goal (soccer),0.952381
hitting baseball,0.955556
sword fighting,0.725490
climbing ladder,0.153846
playing bass guitar,0.410256
playing tennis,0.403509
climbing a rope,0.404762
golf driving,0.687500
hurdling,0.800000
dunking basketball,0.800000
skiing slalom,0.400000
reading book,0.200000
walking the dog,0.422222
driving car,0.250000
cleaning windows,0.166667
opening bottle,0.407407
playing violin,0.416667
reading newspaper,0.100000
