label,accuracy
playing guitar,0.277778
bowling,0.403846
playing saxophone,0.403846
brushing teeth,0.733333
playing basketball,0.571429
tying tie,0.750000
skiing slalom,0.550000
brushing hair,0.837500
punching person (boxing),0.906250
playing accordion,0.500000
archery,0.434211
catching or throwing frisbee,0.928571
drinking,0.444444
reading book,0.375000
flying kite,0.175000
sweeping floor,0.136364
skipping rope,0.937500
clean and jerk,0.326923
catching or throwing baseball,0.732143
skiing (not slalom or crosscountry),0.600000
juggling soccer ball,0.333333
deadlifting,0.954545
driving car,0.156250
cleaning windows,0.140625
shooting basketball,0.513158
canoeing or kayaking,0.250000
surfing water,0.600000
playing volleyball,0.846154
playing piano,0.455882
writing,0.326923
dribbling basketball,0.500000
playing violin,0.450000
juggling balls,0.562500
playing trumpet,0.642857
smoking,0.473684
shooting goal (soccer),0.928571
hitting baseball,0.933333
sword fighting,0.661765
climbing ladder,0.307692
playing bass guitar,0.596154
playing tennis,0.447368
golf driving,0.390625
hurdling,0.875000
dunking basketball,0.750000
eating ice cream,0.477273
opening bottle,0.305556
reading newspaper,0.325000
climbing a rope,0.357143
walking the dog,0.300000
eating cake,0.197368
