label,accuracy
playing guitar,0.277778
bowling,0.500000
playing saxophone,0.500000
brushing teeth,0.700000
playing basketball,0.607143
tying tie,0.625000
skiing slalom,0.600000
brushing hair,0.775000
punching person (boxing),0.875000
archery,0.368421
catching or throwing frisbee,0.928571
drinking,0.370370
reading book,0.350000
flying kite,0.200000
skipping rope,0.916667
clean and jerk,0.346154
catching or throwing baseball,0.714286
skiing (not slalom or crosscountry),0.600000
juggling soccer ball,0.305556
deadlifting,0.909091
cleaning windows,0.156250
shooting basketball,0.447368
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.653846
opening bottle,0.388889
playing piano,0.441176
writing,0.269231
dribbling basketball,0.472222
playing violin,0.425000
juggling balls,0.541667
playing trumpet,0.785714
smoking,0.394737
shooting goal (soccer),0.928571
hitting baseball,0.833333
sword fighting,0.705882
climbing ladder,0.269231
playing bass guitar,0.615385
playing tennis,0.394737
golf driving,0.343750
hurdling,0.850000
dunking basketball,0.800000
playing accordion,0.545455
eating ice cream,0.500000
driving car,0.125000
walking the dog,0.200000
eating cake,0.105263
reading newspaper,0.200000
climbing a rope,0.250000
sweeping floor,0.045455
