label,accuracy
playing guitar,0.259259
bowling,0.641026
playing saxophone,0.435897
brushing teeth,0.888889
playing basketball,0.642857
tying tie,0.458333
brushing hair,0.916667
punching person (boxing),0.916667
playing accordion,0.666667
archery,0.456140
catching or throwing frisbee,0.952381
drinking,0.567901
reading book,0.333333
eating ice cream,0.848485
flying kite,0.400000
skipping rope,0.916667
clean and jerk,0.897436
eating cake,0.228070
catching or throwing baseball,0.785714
skiing (not slalom or crosscountry),0.266667
juggling soccer ball,0.555556
deadlifting,0.969697
driving car,0.270833
cleaning windows,0.229167
shooting basketball,0.456140
canoeing or kayaking,0.238095
surfing water,0.533333
playing volleyball,0.820513
opening bottle,0.481481
playing piano,0.372549
writing,0.333333
dribbling basketball,0.629630
playing violin,0.316667
juggling balls,0.583333
playing trumpet,0.547619
smoking,0.754386
shooting goal (soccer),0.833333
hitting baseball,0.888889
sword fighting,0.784314
climbing ladder,0.205128
playing bass guitar,0.410256
playing tennis,0.543860
golf driving,0.541667
hurdling,0.866667
dunking basketball,0.833333
skiing slalom,0.333333
sweeping floor,0.363636
walking the dog,0.200000
climbing a rope,0.142857
reading newspaper,0.033333
