label,accuracy
playing guitar,0.355556
bowling,0.476923
playing saxophone,0.384615
brushing teeth,0.773333
playing basketball,0.657143
tying tie,0.625000
skiing slalom,0.580000
brushing hair,0.780000
punching person (boxing),0.925000
archery,0.442105
catching or throwing frisbee,0.957143
drinking,0.444444
reading book,0.300000
flying kite,0.160000
skipping rope,0.916667
clean and jerk,0.384615
catching or throwing baseball,0.814286
skiing (not slalom or crosscountry),0.660000
juggling soccer ball,0.344444
deadlifting,0.963636
cleaning windows,0.137500
shooting basketball,0.547368
canoeing or kayaking,0.271429
surfing water,0.600000
playing volleyball,0.815385
opening bottle,0.400000
playing piano,0.423529
writing,0.276923
dribbling basketball,0.466667
playing violin,0.370000
juggling balls,0.616667
playing trumpet,0.714286
smoking,0.494737
shooting goal (soccer),0.942857
hitting baseball,0.906667
sword fighting,0.752941
climbing ladder,0.261538
playing bass guitar,0.569231
playing tennis,0.431579
golf driving,0.375000
hurdling,0.840000
dunking basketball,0.840000
playing accordion,0.563636
eating ice cream,0.581818
driving car,0.137500
walking the dog,0.240000
eating cake,0.221053
reading newspaper,0.200000
climbing a rope,0.300000
sweeping floor,0.018182
