label,accuracy
playing guitar,0.244444
bowling,0.507692
playing saxophone,0.476923
brushing teeth,0.986667
playing basketball,0.628571
tying tie,0.700000
brushing hair,0.900000
punching person (boxing),0.900000
playing accordion,0.527273
archery,0.389474
catching or throwing frisbee,0.900000
drinking,0.733333
reading book,0.340000
eating ice cream,0.927273
flying kite,0.480000
sweeping floor,0.381818
walking the dog,0.413333
skipping rope,0.983333
clean and jerk,0.815385
eating cake,0.400000
catching or throwing baseball,0.642857
skiing (not slalom or crosscountry),0.320000
juggling soccer ball,0.566667
deadlifting,1.000000
cleaning windows,0.287500
shooting basketball,0.452632
surfing water,0.500000
playing volleyball,0.846154
opening bottle,0.488889
playing piano,0.411765
writing,0.646154
dribbling basketball,0.788889
playing violin,0.410000
juggling balls,0.650000
playing trumpet,0.742857
smoking,0.926316
shooting goal (soccer),0.885714
hitting baseball,0.880000
sword fighting,0.894118
climbing ladder,0.261538
playing bass guitar,0.507692
playing tennis,0.494737
climbing a rope,0.271429
golf driving,0.450000
hurdling,0.860000
dunking basketball,0.840000
skiing slalom,0.360000
driving car,0.275000
reading newspaper,0.240000
canoeing or kayaking,0.171429
