label,accuracy
playing guitar,0.370370
bowling,0.435897
playing saxophone,0.358974
brushing teeth,0.622222
playing basketball,0.523810
tying tie,0.541667
skiing slalom,0.466667
brushing hair,0.733333
punching person (boxing),0.895833
playing accordion,0.515152
archery,0.385965
catching or throwing frisbee,0.833333
drinking,0.358025
reading book,0.300000
eating ice cream,0.545455
flying kite,0.233333
sweeping floor,0.212121
skipping rope,0.944444
clean and jerk,0.615385
catching or throwing baseball,0.690476
skiing (not slalom or crosscountry),0.533333
juggling soccer ball,0.351852
deadlifting,0.757576
cleaning windows,0.166667
shooting basketball,0.403509
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.717949
playing piano,0.352941
dribbling basketball,0.407407
playing violin,0.383333
juggling balls,0.638889
playing trumpet,0.523810
smoking,0.649123
shooting goal (soccer),0.880952
hitting baseball,0.866667
sword fighting,0.607843
climbing ladder,0.307692
playing bass guitar,0.717949
playing tennis,0.385965
climbing a rope,0.166667
golf driving,0.416667
hurdling,0.766667
dunking basketball,0.666667
driving car,0.104167
opening bottle,0.296296
reading newspaper,0.133333
walking the dog,0.222222
eating cake,0.175439
writing,0.205128
