label,accuracy
playing guitar,0.377778
bowling,0.430769
playing saxophone,0.307692
brushing teeth,0.720000
playing basketball,0.585714
tying tie,0.575000
skiing slalom,0.500000
brushing hair,0.750000
punching person (boxing),0.925000
playing accordion,0.490909
archery,0.442105
catching or throwing frisbee,0.842857
drinking,0.451852
reading book,0.260000
eating ice cream,0.581818
flying kite,0.180000
sweeping floor,0.163636
skipping rope,0.933333
clean and jerk,0.615385
catching or throwing baseball,0.685714
skiing (not slalom or crosscountry),0.560000
juggling soccer ball,0.388889
deadlifting,0.745455
cleaning windows,0.150000
shooting basketball,0.431579
canoeing or kayaking,0.271429
surfing water,0.600000
playing volleyball,0.692308
playing piano,0.341176
dribbling basketball,0.466667
playing violin,0.380000
juggling balls,0.633333
playing trumpet,0.571429
smoking,0.705263
shooting goal (soccer),0.885714
hitting baseball,0.893333
sword fighting,0.658824
climbing ladder,0.292308
playing bass guitar,0.723077
playing tennis,0.400000
climbing a rope,0.185714
golf driving,0.412500
hurdling,0.800000
dunking basketball,0.720000
driving car,0.112500
opening bottle,0.333333
reading newspaper,0.140000
walking the dog,0.213333
eating cake,0.242105
writing,0.184615
