label,accuracy
playing guitar,0.240741
bowling,0.487179
playing saxophone,0.589744
brushing teeth,0.822222
playing basketball,0.547619
tying tie,0.666667
brushing hair,0.766667
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.298246
catching or throwing frisbee,0.928571
drinking,0.629630
reading book,0.300000
eating ice cream,0.575758
flying kite,0.266667
skipping rope,0.833333
clean and jerk,0.820513
eating cake,0.263158
catching or throwing baseball,0.666667
skiing (not slalom or crosscountry),0.733333
juggling soccer ball,0.222222
deadlifting,0.969697
driving car,0.125000
cleaning windows,0.104167
shooting basketball,0.561404
surfing water,0.600000
playing volleyball,0.717949
opening bottle,0.555556
playing piano,0.431373
writing,0.256410
dribbling basketball,0.592593
playing violin,0.200000
juggling balls,0.527778
playing trumpet,0.500000
smoking,0.701754
shooting goal (soccer),0.857143
hitting baseball,0.844444
sword fighting,0.843137
climbing ladder,0.230769
playing bass guitar,0.538462
playing tennis,0.280702
climbing a rope,0.238095
golf driving,0.645833
hurdling,0.766667
dunking basketball,0.700000
skiing slalom,0.500000
sweeping floor,0.030303
walking the dog,0.288889
canoeing or kayaking,0.119048
reading newspaper,0.033333
