label,accuracy
playing guitar,0.222222
bowling,0.461538
playing saxophone,0.307692
brushing teeth,0.800000
playing basketball,0.714286
tying tie,0.500000
brushing hair,0.900000
punching person (boxing),0.937500
playing accordion,0.636364
archery,0.473684
catching or throwing frisbee,1.000000
drinking,0.592593
eating ice cream,0.636364
flying kite,0.400000
skipping rope,0.916667
clean and jerk,0.846154
eating cake,0.157895
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.200000
juggling soccer ball,0.611111
deadlifting,1.000000
cleaning windows,0.312500
shooting basketball,0.368421
canoeing or kayaking,0.214286
surfing water,0.300000
playing volleyball,0.769231
playing piano,0.588235
writing,0.461538
dribbling basketball,0.500000
playing violin,0.550000
juggling balls,0.750000
playing trumpet,0.428571
smoking,0.684211
shooting goal (soccer),0.857143
hitting baseball,0.933333
sword fighting,0.764706
climbing ladder,0.153846
playing bass guitar,0.538462
playing tennis,0.315789
climbing a rope,0.285714
golf driving,0.812500
hurdling,0.800000
dunking basketball,0.800000
skiing slalom,0.400000
sweeping floor,0.272727
driving car,0.125000
opening bottle,0.222222
reading book,0.200000
walking the dog,0.133333
