label,accuracy
playing guitar,0.277778
bowling,0.492308
playing saxophone,0.569231
brushing teeth,0.880000
playing basketball,0.500000
tying tie,0.600000
brushing hair,0.780000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.315789
catching or throwing frisbee,0.914286
drinking,0.711111
reading book,0.240000
eating ice cream,0.545455
flying kite,0.300000
skipping rope,0.866667
clean and jerk,0.861538
eating cake,0.284211
catching or throwing baseball,0.728571
skiing (not slalom or crosscountry),0.760000
juggling soccer ball,0.222222
deadlifting,0.981818
driving car,0.125000
cleaning windows,0.100000
shooting basketball,0.547368
surfing water,0.560000
playing volleyball,0.738462
opening bottle,0.555556
playing piano,0.447059
writing,0.215385
dribbling basketball,0.611111
playing violin,0.240000
juggling balls,0.566667
playing trumpet,0.585714
smoking,0.673684
shooting goal (soccer),0.871429
hitting baseball,0.880000
sword fighting,0.847059
climbing ladder,0.215385
playing bass guitar,0.492308
playing tennis,0.326316
climbing a rope,0.257143
golf driving,0.712500
hurdling,0.760000
dunking basketball,0.740000
skiing slalom,0.540000
sweeping floor,0.018182
walking the dog,0.293333
canoeing or kayaking,0.128571
reading newspaper,0.040000
