label,accuracy
playing guitar,0.333333
bowling,0.500000
playing saxophone,0.442308
brushing teeth,0.750000
playing basketball,0.625000
tying tie,0.625000
skiing slalom,0.575000
brushing hair,0.787500
punching person (boxing),0.906250
archery,0.434211
catching or throwing frisbee,0.946429
drinking,0.407407
reading book,0.325000
flying kite,0.175000
skipping rope,0.916667
clean and jerk,0.384615
catching or throwing baseball,0.785714
skiing (not slalom or crosscountry),0.650000
juggling soccer ball,0.319444
deadlifting,0.954545
cleaning windows,0.140625
shooting basketball,0.526316
canoeing or kayaking,0.267857
surfing water,0.600000
playing volleyball,0.788462
opening bottle,0.416667
playing piano,0.426471
writing,0.288462
dribbling basketball,0.458333
playing violin,0.375000
juggling balls,0.625000
playing trumpet,0.714286
smoking,0.473684
shooting goal (soccer),0.928571
hitting baseball,0.900000
sword fighting,0.735294
climbing ladder,0.269231
playing bass guitar,0.596154
playing tennis,0.434211
golf driving,0.359375
hurdling,0.850000
dunking basketball,0.825000
playing accordion,0.590909
eating ice cream,0.568182
driving car,0.140625
walking the dog,0.233333
eating cake,0.184211
reading newspaper,0.225000
climbing a rope,0.321429
sweeping floor,0.022727
