label,accuracy
playing guitar,0.277778
bowling,0.384615
playing saxophone,0.384615
brushing teeth,0.533333
playing basketball,0.500000
tying tie,0.500000
skiing slalom,0.400000
brushing hair,0.750000
punching person (boxing),0.937500
playing accordion,0.363636
archery,0.210526
catching or throwing frisbee,0.785714
drinking,0.333333
reading book,0.300000
eating ice cream,0.545455
flying kite,0.300000
sweeping floor,0.272727
skipping rope,0.833333
clean and jerk,0.615385
catching or throwing baseball,0.714286
skiing (not slalom or crosscountry),0.500000
juggling soccer ball,0.444444
deadlifting,0.727273
cleaning windows,0.125000
shooting basketball,0.368421
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.538462
playing piano,0.235294
dribbling basketball,0.388889
playing violin,0.400000
juggling balls,0.583333
playing trumpet,0.428571
smoking,0.526316
shooting goal (soccer),0.928571
hitting baseball,0.800000
sword fighting,0.647059
climbing ladder,0.230769
playing bass guitar,0.769231
playing tennis,0.315789
climbing a rope,0.142857
golf driving,0.437500
hurdling,0.800000
dunking basketball,0.700000
driving car,0.125000
opening bottle,0.222222
reading newspaper,0.100000
walking the dog,0.133333
eating cake,0.157895
writing,0.153846
