label,accuracy
playing guitar,0.375000
bowling,0.423077
playing saxophone,0.346154
brushing teeth,0.683333
playing basketball,0.553571
tying tie,0.562500
skiing slalom,0.475000
brushing hair,0.750000
punching person (boxing),0.906250
playing accordion,0.500000
archery,0.421053
catching or throwing frisbee,0.839286
drinking,0.407407
reading book,0.275000
eating ice cream,0.568182
flying kite,0.200000
sweeping floor,0.159091
skipping rope,0.937500
clean and jerk,0.615385
catching or throwing baseball,0.696429
skiing (not slalom or crosscountry),0.550000
juggling soccer ball,0.361111
deadlifting,0.750000
cleaning windows,0.156250
shooting basketball,0.421053
canoeing or kayaking,0.267857
surfing water,0.600000
playing volleyball,0.692308
playing piano,0.352941
dribbling basketball,0.444444
playing violin,0.375000
juggling balls,0.625000
playing trumpet,0.553571
smoking,0.684211
shooting goal (soccer),0.892857
hitting baseball,0.900000
sword fighting,0.647059
climbing ladder,0.307692
playing bass guitar,0.730769
playing tennis,0.394737
climbing a rope,0.196429
golf driving,0.406250
hurdling,0.800000
dunking basketball,0.700000
driving car,0.109375
opening bottle,0.333333
reading newspaper,0.150000
walking the dog,0.216667
eating cake,0.210526
writing,0.192308
