label,accuracy
playing guitar,0.250000
bowling,0.615385
playing saxophone,0.461538
brushing teeth,0.866667
playing basketball,0.642857
tying tie,0.500000
brushing hair,0.900000
punching person (boxing),0.906250
playing accordion,0.636364
archery,0.394737
catching or throwing frisbee,0.964286
drinking,0.537037
reading book,0.300000
eating ice cream,0.909091
flying kite,0.350000
skipping rope,0.875000
clean and jerk,0.923077
eating cake,0.184211
catching or throwing baseball,0.750000
skiing (not slalom or crosscountry),0.250000
juggling soccer ball,0.555556
deadlifting,0.954545
driving car,0.250000
cleaning windows,0.250000
shooting basketball,0.447368
canoeing or kayaking,0.250000
surfing water,0.500000
playing volleyball,0.769231
opening bottle,0.444444
playing piano,0.352941
writing,0.307692
dribbling basketball,0.666667
playing violin,0.325000
juggling balls,0.458333
playing trumpet,0.500000
smoking,0.684211
shooting goal (soccer),0.785714
hitting baseball,0.866667
sword fighting,0.764706
climbing ladder,0.230769
playing bass guitar,0.423077
playing tennis,0.500000
golf driving,0.562500
hurdling,0.850000
dunking basketball,0.800000
skiing slalom,0.300000
sweeping floor,0.363636
walking the dog,0.166667
climbing a rope,0.142857
