label,accuracy
playing guitar,0.166667
bowling,0.461538
playing saxophone,0.384615
brushing teeth,0.800000
playing basketball,0.571429
tying tie,0.500000
brushing hair,0.900000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.263158
catching or throwing frisbee,1.000000
drinking,0.444444
reading book,0.300000
eating ice cream,0.909091
flying kite,0.300000
skipping rope,0.833333
clean and jerk,0.923077
eating cake,0.157895
catching or throwing baseball,0.714286
skiing (not slalom or crosscountry),0.100000
juggling soccer ball,0.444444
deadlifting,1.000000
driving car,0.250000
cleaning windows,0.250000
shooting basketball,0.368421
canoeing or kayaking,0.214286
surfing water,0.400000
playing volleyball,0.769231
opening bottle,0.333333
playing piano,0.352941
writing,0.230769
dribbling basketball,0.722222
playing violin,0.300000
juggling balls,0.333333
playing trumpet,0.571429
smoking,0.578947
shooting goal (soccer),0.785714
hitting baseball,0.933333
sword fighting,0.705882
climbing ladder,0.230769
playing bass guitar,0.307692
playing tennis,0.315789
golf driving,0.437500
hurdling,0.800000
dunking basketball,0.900000
skiing slalom,0.200000
sweeping floor,0.363636
walking the dog,0.200000
climbing a rope,0.142857
