label,accuracy
playing guitar,0.361111
bowling,0.461538
playing saxophone,0.346154
brushing teeth,0.633333
playing basketball,0.464286
tying tie,0.562500
skiing slalom,0.450000
brushing hair,0.725000
punching person (boxing),0.906250
playing accordion,0.454545
archery,0.315789
catching or throwing frisbee,0.821429
drinking,0.333333
reading book,0.300000
eating ice cream,0.500000
flying kite,0.200000
sweeping floor,0.227273
skipping rope,0.916667
clean and jerk,0.615385
catching or throwing baseball,0.642857
skiing (not slalom or crosscountry),0.550000
juggling soccer ball,0.361111
deadlifting,0.727273
cleaning windows,0.156250
shooting basketball,0.421053
canoeing or kayaking,0.250000
surfing water,0.600000
playing volleyball,0.653846
playing piano,0.294118
dribbling basketball,0.416667
playing violin,0.400000
juggling balls,0.666667
playing trumpet,0.464286
smoking,0.552632
shooting goal (soccer),0.928571
hitting baseball,0.833333
sword fighting,0.588235
climbing ladder,0.269231
playing bass guitar,0.730769
playing tennis,0.315789
climbing a rope,0.178571
golf driving,0.406250
hurdling,0.800000
dunking basketball,0.700000
driving car,0.093750
opening bottle,0.277778
reading newspaper,0.100000
walking the dog,0.200000
eating cake,0.131579
writing,0.192308
