label,accuracy
playing guitar,0.263889
bowling,0.480769
playing saxophone,0.576923
brushing teeth,0.866667
playing basketball,0.517857
tying tie,0.625000
brushing hair,0.762500
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.302632
catching or throwing frisbee,0.910714
drinking,0.675926
reading book,0.250000
eating ice cream,0.545455
flying kite,0.275000
skipping rope,0.854167
clean and jerk,0.846154
eating cake,0.276316
catching or throwing baseball,0.714286
skiing (not slalom or crosscountry),0.750000
juggling soccer ball,0.222222
deadlifting,0.977273
driving car,0.125000
cleaning windows,0.109375
shooting basketball,0.539474
surfing water,0.575000
playing volleyball,0.711538
opening bottle,0.555556
playing piano,0.441176
writing,0.230769
dribbling basketball,0.597222
playing violin,0.225000
juggling balls,0.541667
playing trumpet,0.535714
smoking,0.684211
shooting goal (soccer),0.875000
hitting baseball,0.866667
sword fighting,0.838235
climbing ladder,0.211538
playing bass guitar,0.519231
playing tennis,0.302632
climbing a rope,0.250000
golf driving,0.687500
hurdling,0.750000
dunking basketball,0.700000
skiing slalom,0.550000
sweeping floor,0.022727
walking the dog,0.283333
canoeing or kayaking,0.125000
reading newspaper,0.025000
