label,accuracy
playing guitar,0.250000
bowling,0.384615
playing saxophone,0.423077
brushing teeth,0.666667
playing basketball,0.500000
tying tie,0.750000
skiing slalom,0.600000
brushing hair,0.825000
punching person (boxing),0.875000
playing accordion,0.545455
archery,0.368421
catching or throwing frisbee,0.928571
drinking,0.407407
reading book,0.350000
flying kite,0.200000
sweeping floor,0.181818
skipping rope,0.958333
clean and jerk,0.269231
catching or throwing baseball,0.678571
skiing (not slalom or crosscountry),0.550000
juggling soccer ball,0.333333
deadlifting,0.909091
driving car,0.156250
cleaning windows,0.156250
shooting basketball,0.447368
canoeing or kayaking,0.250000
surfing water,0.600000
playing volleyball,0.730769
playing piano,0.411765
writing,0.384615
dribbling basketball,0.500000
playing violin,0.450000
juggling balls,0.500000
playing trumpet,0.642857
smoking,0.342105
shooting goal (soccer),0.892857
hitting baseball,0.866667
sword fighting,0.647059
climbing ladder,0.307692
playing bass guitar,0.653846
playing tennis,0.394737
golf driving,0.375000
hurdling,0.900000
dunking basketball,0.750000
eating ice cream,0.363636
opening bottle,0.222222
reading newspaper,0.250000
climbing a rope,0.321429
walking the dog,0.300000
eating cake,0.105263
