label,accuracy
playing guitar,0.259259
bowling,0.410256
playing saxophone,0.410256
brushing teeth,0.666667
playing basketball,0.547619
tying tie,0.750000
skiing slalom,0.566667
brushing hair,0.850000
punching person (boxing),0.895833
playing accordion,0.515152
archery,0.421053
catching or throwing frisbee,0.952381
drinking,0.419753
reading book,0.366667
flying kite,0.200000
sweeping floor,0.151515
skipping rope,0.944444
clean and jerk,0.333333
catching or throwing baseball,0.738095
skiing (not slalom or crosscountry),0.566667
juggling soccer ball,0.314815
deadlifting,0.939394
driving car,0.166667
cleaning windows,0.145833
shooting basketball,0.491228
canoeing or kayaking,0.285714
surfing water,0.600000
playing volleyball,0.820513
playing piano,0.470588
writing,0.358974
dribbling basketball,0.481481
playing violin,0.450000
juggling balls,0.527778
playing trumpet,0.666667
smoking,0.438596
shooting goal (soccer),0.904762
hitting baseball,0.911111
sword fighting,0.647059
climbing ladder,0.282051
playing bass guitar,0.589744
playing tennis,0.438596
golf driving,0.395833
hurdling,0.866667
dunking basketball,0.733333
eating ice cream,0.424242
opening bottle,0.222222
reading newspaper,0.300000
climbing a rope,0.357143
walking the dog,0.311111
eating cake,0.157895
