label,accuracy
playing guitar,0.300000
bowling,0.676923
playing saxophone,0.430769
brushing teeth,0.906667
playing basketball,0.671429
tying tie,0.475000
brushing hair,0.930000
punching person (boxing),0.925000
playing accordion,0.690909
archery,0.484211
catching or throwing frisbee,0.942857
drinking,0.637037
reading book,0.340000
eating ice cream,0.800000
flying kite,0.420000
skipping rope,0.900000
clean and jerk,0.876923
eating cake,0.273684
catching or throwing baseball,0.842857
skiing (not slalom or crosscountry),0.320000
juggling soccer ball,0.622222
deadlifting,0.981818
driving car,0.275000
cleaning windows,0.212500
shooting basketball,0.442105
canoeing or kayaking,0.257143
surfing water,0.560000
playing volleyball,0.846154
opening bottle,0.444444
playing piano,0.411765
writing,0.369231
dribbling basketball,0.644444
playing violin,0.290000
juggling balls,0.666667
playing trumpet,0.571429
smoking,0.778947
shooting goal (soccer),0.857143
hitting baseball,0.920000
sword fighting,0.764706
climbing ladder,0.184615
playing bass guitar,0.400000
playing tennis,0.589474
golf driving,0.550000
hurdling,0.900000
dunking basketball,0.880000
skiing slalom,0.380000
sweeping floor,0.363636
walking the dog,0.253333
climbing a rope,0.157143
reading newspaper,0.060000
