label,accuracy
playing guitar,0.166667
bowling,0.461538
playing saxophone,0.384615
brushing teeth,1.000000
playing basketball,0.785714
tying tie,0.875000
brushing hair,0.850000
punching person (boxing),0.875000
playing accordion,0.636364
archery,0.368421
catching or throwing frisbee,0.928571
drinking,0.481481
reading book,0.400000
eating ice cream,0.909091
flying kite,0.400000
sweeping floor,0.454545
walking the dog,0.333333
skipping rope,0.916667
clean and jerk,0.615385
eating cake,0.157895
catching or throwing baseball,0.500000
skiing (not slalom or crosscountry),0.200000
juggling soccer ball,0.611111
deadlifting,1.000000
cleaning windows,0.312500
shooting basketball,0.421053
surfing water,0.400000
playing volleyball,0.846154
opening bottle,0.444444
playing piano,0.294118
writing,0.538462
dribbling basketball,0.722222
playing violin,0.450000
juggling balls,0.666667
playing trumpet,0.785714
smoking,0.894737
shooting goal (soccer),0.857143
hitting baseball,0.866667
sword fighting,0.882353
climbing ladder,0.230769
playing bass guitar,0.384615
playing tennis,0.263158
climbing a rope,0.428571
golf driving,0.437500
hurdling,0.900000
dunking basketball,0.700000
skiing slalom,0.400000
driving car,0.187500
reading newspaper,0.300000
canoeing or kayaking,0.071429
