label,youtube_id,time_start,time_end,frame_num,image_type,correct_ranking,correct_score,top5,top10,top5_predictions
archery,-Qz25rXdMjE,14,24,50,original,1,0.9290456771850586,True,True,"['archery', 'playing violin', 'climbing a rope', 'sword fighting', 'skipping rope']"
archery,-Qz25rXdMjE,14,24,50,human_only,24,0.0005868027219548821,False,False,"['juggling balls', 'juggling soccer ball', 'skipping rope', 'playing violin', 'catching or throwing frisbee']"
archery,-Qz25rXdMjE,14,24,50,background_only,2,0.11644690483808517,True,True,"['climbing a rope', 'archery', 'sword fighting', 'juggling soccer ball', 'juggling balls']"
archery,-UJgyiWe500,29,39,50,original,1,0.9065918922424316,True,True,"['archery', 'shooting goal (soccer)', 'catching or throwing frisbee', 'juggling balls', 'skiing slalom']"
archery,-UJgyiWe500,29,39,50,human_only,17,0.01775841787457466,False,False,"['flying kite', 'skiing slalom', 'climbing ladder', 'shooting goal (soccer)', 'playing trumpet']"
archery,-UJgyiWe500,29,39,50,background_only,1,0.9417303204536438,True,True,"['archery', 'shooting goal (soccer)', 'catching or throwing frisbee', 'skiing slalom', 'juggling balls']"
archery,0S-P4lr_c7s,22,32,50,original,1,0.7482324242591858,True,True,"['archery', 'shooting goal (soccer)', 'shooting basketball', 'catching or throwing frisbee', 'skiing slalom']"
archery,0S-P4lr_c7s,22,32,50,human_only,22,0.0071291872300207615,False,False,"['shooting goal (soccer)', 'skiing slalom', 'dunking basketball', 'shooting basketball', 'dribbling basketball']"
archery,0S-P4lr_c7s,22,32,50,background_only,1,0.6312246322631836,True,True,"['archery', 'shooting goal (soccer)', 'catching or throwing frisbee', 'shooting basketball', 'flying kite']"
archery,27jJKXiB9Y8,9,19,50,original,1,0.8501991629600525,True,True,"['archery', 'sword fighting', 'climbing a rope', 'skiing (not slalom or crosscountry)', 'skiing slalom']"
archery,27jJKXiB9Y8,9,19,50,human_only,43,0.001117579871788621,False,False,"['juggling soccer ball', 'juggling balls', 'playing saxophone', 'punching person (boxing)', 'skipping rope']"
archery,27jJKXiB9Y8,9,19,50,background_only,1,0.422423779964447,True,True,"['archery', 'walking the dog', 'sword fighting', 'skiing (not slalom or crosscountry)', 'canoeing or kayaking']"
archery,2x1lIrgKxYo,589,599,50,original,1,0.9341477751731873,True,True,"['archery', 'shooting goal (soccer)', 'skiing slalom', 'clean and jerk', 'sweeping floor']"
archery,2x1lIrgKxYo,589,599,50,human_only,22,0.007128675002604723,False,False,"['shooting goal (soccer)', 'skiing slalom', 'dunking basketball', 'shooting basketball', 'dribbling basketball']"
archery,2x1lIrgKxYo,589,599,50,background_only,1,0.9366293549537659,True,True,"['archery', 'shooting goal (soccer)', 'skiing slalom', 'shooting basketball', 'clean and jerk']"
archery,36E29x22tnQ,18,28,50,original,1,0.8719331622123718,True,True,"['archery', 'juggling balls', 'catching or throwing baseball', 'sword fighting', 'bowling']"
archery,36E29x22tnQ,18,28,50,human_only,1,0.30200353264808655,True,True,"['archery', 'playing violin', 'playing trumpet', 'playing accordion', 'playing saxophone']"
archery,36E29x22tnQ,18,28,50,background_only,1,0.7753418684005737,True,True,"['archery', 'clean and jerk', 'skiing slalom', 'skiing (not slalom or crosscountry)', 'juggling balls']"
archery,3and4vWkW4s,11,21,50,original,1,0.9861953258514404,True,True,"['archery', 'shooting goal (soccer)', 'skiing slalom', 'flying kite', 'golf driving']"
archery,3and4vWkW4s,11,21,50,human_only,10,0.030071396380662918,False,True,"['playing bass guitar', 'playing trumpet', 'playing accordion', 'skiing slalom', 'playing saxophone']"
archery,3and4vWkW4s,11,21,50,background_only,1,0.7658625245094299,True,True,"['archery', 'flying kite', 'shooting goal (soccer)', 'skiing slalom', 'catching or throwing frisbee']"
archery,3hoSk280ndk,25,35,50,original,1,0.6793751120567322,True,True,"['archery', 'shooting goal (soccer)', 'skiing slalom', 'flying kite', 'hitting baseball']"
archery,3hoSk280ndk,25,35,50,human_only,5,0.058573558926582336,True,True,"['juggling soccer ball', 'hitting baseball', 'juggling balls', 'catching or throwing baseball', 'archery']"
