label,accuracy
playing guitar,0.311111
bowling,0.523077
playing saxophone,0.276923
brushing teeth,0.893333
playing basketball,0.742857
tying tie,0.575000
brushing hair,0.970000
punching person (boxing),0.925000
playing accordion,0.727273
archery,0.642105
catching or throwing frisbee,0.942857
drinking,0.733333
eating ice cream,0.836364
flying kite,0.520000
skipping rope,0.883333
clean and jerk,0.846154
eating cake,0.326316
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.340000
juggling soccer ball,0.655556
deadlifting,1.000000
cleaning windows,0.325000
shooting basketball,0.526316
canoeing or kayaking,0.214286
surfing water,0.320000
playing volleyball,0.800000
playing piano,0.647059
writing,0.584615
dribbling basketball,0.511111
playing violin,0.630000
juggling balls,0.766667
playing trumpet,0.671429
smoking,0.831579
shooting goal (soccer),0.871429
hitting baseball,0.960000
sword fighting,0.800000
climbing ladder,0.184615
playing bass guitar,0.615385
playing tennis,0.557895
climbing a rope,0.314286
golf driving,0.912500
hurdling,0.920000
dunking basketball,0.900000
skiing slalom,0.460000
sweeping floor,0.327273
driving car,0.187500
opening bottle,0.400000
reading book,0.360000
walking the dog,0.320000
reading newspaper,0.080000
