label,accuracy
playing guitar,0.277778
bowling,0.512821
playing saxophone,0.256410
brushing teeth,0.866667
playing basketball,0.714286
tying tie,0.500000
brushing hair,0.966667
punching person (boxing),0.916667
playing accordion,0.666667
archery,0.561404
catching or throwing frisbee,0.976190
drinking,0.691358
eating ice cream,0.848485
flying kite,0.400000
skipping rope,0.861111
clean and jerk,0.846154
eating cake,0.280702
catching or throwing baseball,0.928571
skiing (not slalom or crosscountry),0.266667
juggling soccer ball,0.611111
deadlifting,1.000000
cleaning windows,0.333333
shooting basketball,0.491228
canoeing or kayaking,0.238095
surfing water,0.333333
playing volleyball,0.794872
playing piano,0.588235
writing,0.564103
dribbling basketball,0.537037
playing violin,0.550000
juggling balls,0.750000
playing trumpet,0.571429
smoking,0.789474
shooting goal (soccer),0.833333
hitting baseball,0.933333
sword fighting,0.784314
climbing ladder,0.205128
playing bass guitar,0.615385
playing tennis,0.526316
climbing a rope,0.309524
golf driving,0.854167
hurdling,0.866667
dunking basketball,0.866667
skiing slalom,0.433333
sweeping floor,0.242424
driving car,0.166667
opening bottle,0.333333
reading book,0.333333
walking the dog,0.266667
reading newspaper,0.066667
